id;full_name_english;full_name_chinese;country_name_english;country_name_chinese;name_abbre;currency_sort
1;Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;portal calculating Metal;real-time discrete redundant;Synergistic Personal Loan Account Sleek;518
2;Auto Loan Account olive;Yen;Unbranded Fresh Pants Tools California;North Dakota Garden;Towels Specialist;83893
3;TCP Assimilated;compressing;Brunei Darussalam interface;compress lavender Investment Account;backing up;19438
4;relationships Philippine Peso;panel;Analyst card Licensed Cotton Ball;mindshare Gorgeous;Chips;8087
5;infomediaries Som Rustic Frozen Keyboard;Enterprise-wide Benin;Tuna Response invoice;alarm Jamaica;system Gorgeous Rubber Pants;15864
6;Steel leading-edge Small;Incredible Fresh Chips;Shoes Music connect;Hollow Shoes systems;Generic Frozen Tuna HTTP;26089
7;Kids Optimization;EXE payment;Checking Account;invoice Outdoors New York;multi-byte Jamaican Dollar North Carolina;12850
8;haptic parsing;revolutionize Branding;teal analyzing yellow;Books Generic;robust withdrawal generate;68161
9;wireless;hybrid;Solomon Islands Dollar;Personal Loan Account HTTP;schemas Specialist China;42347
10;South Dakota Wyoming interface;incentivize;Louisiana JSON Texas;bandwidth;application Configurable iterate;53432
